data_date_utc,observed_at,path,title,count,uniques
2026-09-23,2026-09-24T06:55:48Z,/ForestTiger-GH/github-observatory,Overview,22,1
2026-09-23,2026-09-24T06:55:48Z,/ForestTiger-GH/github-observatory/actions/workflows/backfill.yml,/actions/workflows/backfill.yml,4,1
2026-09-23,2026-09-24T06:55:48Z,/ForestTiger-GH/github-observatory/blob/main/ForestTiger-GH/_collection/repository-status.csv,/blob/main/ForestTiger-GH/_collection/repository-status.csv,3,1
2026-09-23,2026-09-24T06:55:48Z,/ForestTiger-GH/github-observatory/blob/main/ForestTiger-GH/_collection/runs.csv,/blob/main/ForestTiger-GH/_collection/runs.csv,3,1
2026-09-23,2026-09-24T06:55:48Z,/ForestTiger-GH/github-observatory/tree/main,/tree/main,11,1
2026-09-23,2026-09-24T06:55:48Z,/ForestTiger-GH/github-observatory/tree/main/ForestTiger-GH,/tree/main/ForestTiger-GH,25,1
2026-09-23,2026-09-24T06:55:48Z,/ForestTiger-GH/github-observatory/tree/main/ForestTiger-GH/_collection,/tree/main/ForestTiger-GH/_collection,9,1
2026-09-23,2026-09-24T06:55:48Z,/ForestTiger-GH/github-observatory/tree/main/ForestTiger-GH/mandat-forecast,/tree/main/ForestTiger-GH/mandat-forecast,4,1
2026-09-23,2026-09-24T06:55:48Z,/ForestTiger-GH/github-observatory/tree/main/ForestTiger-GH/tabularium,/tree/main/ForestTiger-GH/tabularium,6,1
2026-09-23,2026-09-24T06:55:48Z,/ForestTiger-GH/github-observatory/tree/main/ForestTiger-GH/tabularium/traffic,/tree/main/ForestTiger-GH/tabularium/traffic,5,1
