traffic_date_utc,count,uniques,last_observed_at
2026-09-08,0,0,2026-09-22T20:28:31Z
2026-09-09,0,0,2026-09-23T06:57:33Z
2026-09-10,0,0,2026-09-26T06:50:11Z
2026-09-11,0,0,2026-09-26T06:50:11Z
2026-09-12,0,0,2026-09-26T06:50:11Z
2026-09-13,0,0,2026-09-26T06:50:11Z
2026-09-14,0,0,2026-09-26T06:50:11Z
2026-09-15,0,0,2026-09-26T06:50:11Z
2026-09-16,0,0,2026-09-26T06:50:11Z
2026-09-17,0,0,2026-09-26T06:50:11Z
2026-09-18,91,45,2026-09-26T06:50:11Z
2026-09-19,14,14,2026-09-26T06:50:11Z
2026-09-20,0,0,2026-09-26T06:50:11Z
2026-09-21,0,0,2026-09-26T06:50:11Z
2026-09-22,1,1,2026-09-26T06:50:11Z
2026-09-23,2,2,2026-09-26T06:50:11Z
